subsidiary;customer_id;year;risk;Status of existing checking account;Duration in month;Credit history;Purpose;Credit amount;Savings account/bonds;Present employment since;Installment rate in percentage of disposable income;Personal status and sex;Other debtors / guarantors;RGPD KO;Present residence since;Property;Age in years;Evaluation;Other installment plans;Housing;Number of existing credits at this bank;Job;Number of people being liable to provide maintenance for;Téléphone;foreign worker
german;675;2013;1;no checking account;21;delay in paying off;business;2580;500 <= < 1000 DM;<1 years;4;male:single;none;;2;real estate;41;68,7;bank;own;1;unskilled - resident;2;none;yes
german;234;2011;0;0 <= <200 DM;18;existing credits paid back duly till now;radio/télévision;866;<100 DM;1<= < 4 years;4;male:married/widowed;guarantor;3;2;real estate;25;98,7;none;own;1;unskilled - resident;1;none;yes
german;740;2013;1;0 <= <200 DM;30;no credits taken;business;4280;100 <= <500 DM;1<= < 4 years;4;female:divorced/separated/married;none;;4;car or other;26;83,7;none;rent;2;unskilled - resident;1;none;yes
german;866;2014;0;no checking account;15;existing credits paid back duly till now;furniture/equipment;2221;500 <= < 1000 DM;1<= < 4 years;2;female:divorced/separated/married;none;;4;car or other;20;34,2;none;rent;1;skilled employee / official;1;none;yes
german;524;2012;0;no checking account;24;existing credits paid back duly till now;car (used);3488;100 <= <500 DM;4<= <7 years;3;female:divorced/separated/married;none;2;4;car or other;23;8;none;own;1;skilled employee / official;1;none;yes
german;727;2013;0;no checking account;15;critical account;radio/télévision;1316;500 <= < 1000 DM;1<= < 4 years;2;male:married/widowed;none;;2;savings agreement/life insurance;47;60,7;none;own;2;unskilled - resident;1;none;yes
german;474;2012;0;no checking account;6;existing credits paid back duly till now;retraining;1238;no savings account;unemployed;4;male:single;none;3;4;savings agreement/life insurance;36;10,4;none;own;1;management/ highly qualified employee;2;yes;yes
german;502;2012;0;<0 DM;36;existing credits paid back duly till now;car (used);5493;<100 DM;>=7 years;2;male:single;none;1;4;unknown / no property;42;25,2;none;for free;1;skilled employee / official;2;none;yes
german;571;2012;1;<0 DM;24;existing credits paid back duly till now;furniture/equipment;3234;<100 DM;<1 years;4;female:divorced/separated/married;none;1;4;real estate;23;89,4;none;rent;1;unskilled - resident;1;yes;yes
german;347;2011;0;0 <= <200 DM;13;critical account;radio/télévision;882;<100 DM;<1 years;4;male:single;guarantor;2;4;real estate;23;31,2;none;own;2;skilled employee / official;1;none;yes
german;222;2011;0;<0 DM;12;existing credits paid back duly till now;education;1200;no savings account;1<= < 4 years;4;female:divorced/separated/married;none;3;4;savings agreement/life insurance;23;90,2;bank;rent;1;skilled employee / official;1;yes;yes
german;208;2011;0;0 <= <200 DM;12;critical account;domestic appliances;1424;<100 DM;4<= <7 years;4;male:single;none;1;3;savings agreement/life insurance;26;61,9;none;own;1;skilled employee / official;1;none;yes
german;257;2011;0;no checking account;24;critical account;radio/télévision;2684;<100 DM;1<= < 4 years;4;male:single;none;2;2;real estate;35;97,3;none;own;2;unskilled - resident;1;none;yes
german;589;2012;1;<0 DM;18;existing credits paid back duly till now;domestic appliances;1217;<100 DM;1<= < 4 years;4;male:married/widowed;none;1;3;real estate;47;19,8;none;own;1;unskilled - resident;1;yes;yes
german;75;2010;1;<0 DM;36;existing credits paid back duly till now;education;1977;no savings account;>=7 years;4;male:single;none;3;4;unknown / no property;40;43,5;none;own;1;management/ highly qualified employee;1;yes;yes
german;405;2012;0;0 <= <200 DM;18;delay in paying off;car (new);2899;no savings account;>=7 years;4;male:single;none;3;4;car or other;43;85,6;none;own;1;skilled employee / official;2;none;yes
german;633;2013;0;0 <= <200 DM;15;existing credits paid back duly till now;radio/télévision;1444;no savings account;<1 years;4;male:single;none;;1;savings agreement/life insurance;23;93,9;none;own;1;skilled employee / official;1;none;yes
german;295;2011;0;no checking account;48;critical account;business;7629;no savings account;>=7 years;4;male:divorced/separated;none;1;2;car or other;46;19,8;bank;own;2;management/ highly qualified employee;2;none;yes
german;660;2013;0;0 <= <200 DM;18;critical account;furniture/equipment;6361;<100 DM;>=7 years;2;male:single;none;;1;unknown / no property;41;77,8;none;own;1;skilled employee / official;1;yes;yes
german;137;2010;0;no checking account;27;delay in paying off;car (used);8613;>= 1000 DM;1<= < 4 years;2;male:single;none;2;2;car or other;27;87,4;none;own;2;skilled employee / official;1;none;yes
german;108;2010;0;0 <= <200 DM;12;existing credits paid back duly till now;car (new);6078;<100 DM;4<= <7 years;2;male:single;none;3;2;car or other;32;96;none;own;1;skilled employee / official;1;none;yes
german;786;2013;0;0 <= <200 DM;18;existing credits paid back duly till now;business;1941;>= 1000 DM;1<= < 4 years;4;male:single;none;;2;savings agreement/life insurance;35;22,7;none;own;1;unskilled - resident;1;yes;yes
german;97;2010;0;no checking account;12;critical account;education;2012;no savings account;4<= <7 years;4;female:divorced/separated/married;none;1;2;car or other;61;81,5;none;own;1;skilled employee / official;1;none;yes
german;898;2014;0;no checking account;12;critical account;furniture/equipment;1592;>= 1000 DM;4<= <7 years;3;female:divorced/separated/married;none;;2;savings agreement/life insurance;35;94,4;none;own;1;skilled employee / official;1;none;no
german;760;2013;1;<0 DM;12;critical account;car (new);691;<100 DM;>=7 years;4;male:single;none;;3;savings agreement/life insurance;35;41,1;none;own;2;skilled employee / official;1;none;yes
german;792;2013;0;no checking account;24;existing credits paid back duly till now;car (used);6313;no savings account;>=7 years;3;male:single;none;;4;car or other;41;51,9;none;own;1;management/ highly qualified employee;2;yes;yes
german;292;2011;1;0 <= <200 DM;36;existing credits paid back duly till now;car (used);9398;<100 DM;<1 years;1;male:married/widowed;none;1;4;car or other;28;80,5;none;rent;1;management/ highly qualified employee;1;yes;yes
german;831;2014;0;no checking account;24;delay in paying off;business;2375;500 <= < 1000 DM;1<= < 4 years;4;male:single;none;;2;car or other;44;56,6;none;own;2;skilled employee / official;2;yes;yes
german;227;2011;1;0 <= <200 DM;48;existing credits paid back duly till now;radio/télévision;10961;>= 1000 DM;4<= <7 years;1;male:single;co-applicant;2;2;unknown / no property;27;58,7;bank;own;2;skilled employee / official;1;yes;yes
german;801;2014;0;no checking account;24;critical account;education;1597;<100 DM;>=7 years;4;male:single;none;;4;unknown / no property;54;18,3;none;for free;2;skilled employee / official;2;none;yes
german;870;2014;0;<0 DM;12;existing credits paid back duly till now;furniture/equipment;652;<100 DM;>=7 years;4;female:divorced/separated/married;none;;4;savings agreement/life insurance;24;26,3;none;rent;1;skilled employee / official;1;none;yes
german;270;2011;0;no checking account;24;existing credits paid back duly till now;radio/télévision;999;no savings account;>=7 years;4;male:single;none;3;2;car or other;25;29,8;none;own;2;skilled employee / official;1;none;yes
